LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
CZE,1999,24.149,1.403,214.504,,2205.93,7.69935768849048,1,0.060017004809980234,0.9399680664175856,1.4928772434342065e-05,Medium Spend
CZE,2000,24.659,1.414,228.095,B,2339.13,7.75796176236415,1,0.043189649240253786,0.9568048843701046,5.4663896416063925e-06,Medium Spend
CZE,2001,24.981,1.474,258.786,,2643.91,7.880392317248458,1,0.03777771687813893,0.9622197132357615,2.5698860993744807e-06,Medium Spend
CZE,2002,25.069,1.558,282.66,,2882.26,7.966676877408366,1,0.03829361965178823,0.9617044251626171,1.9551855947055356e-06,Medium Spend
CZE,2003,25.196,1.657,320.79,B,3270.13,8.092890769946443,1,0.039035580950801244,0.9609631085088054,1.310540393370344e-06,Medium Spend
CZE,2004,25.671,1.642,341.185,,3479.1,8.154816307987844,1,0.027771886030152366,0.972227640083658,4.7388618948787616e-07,Medium Spend
CZE,2005,25.7,1.643,360.063,,3676.68,8.2100373975728,1,0.02855786727234481,0.9714417157296618,4.169979934842629e-07,Medium Spend
CZE,2006,23.478,1.457,346.049,,3543.16,8.17305645743275,1,0.1531521889385002,0.846819452518578,2.8358542921952684e-05,Medium Spend
CZE,2007,22.213,1.339,348.982,,3594.11,8.187329867739887,1,0.322235692046702,0.6775490785681144,0.00021522938518347447,Medium Spend
CZE,2008,20.906,1.332,370.216,,3844.55,8.254671914622957,0,0.5598536223711348,0.4389564731432268,0.0011899044856385763,High Spend
CZE,2009,22.139,1.618,446.076,,4658.79,8.44672566172658,1,0.4049792578962887,0.5948483918614758,0.00017235024223521178,Medium Spend
CZE,2010,20.418,1.418,392.131,,4107.34,8.320774332959518,0,0.654658224595241,0.34339099725512184,0.0019507781496370363,High Spend
CZE,2011,20.432,1.426,410.511,,4308.76,8.3686374970926,0,0.6663321536849532,0.33188185504068324,0.0017859912743635729,High Spend
CZE,2012,21.496,1.511,438.857,,4612.73,8.436791919466213,0,0.5158961060547529,0.4836749901546414,0.00042890379060564785,High Spend
CZE,2013,17.932,1.384,421.887,,4435.83,8.397695436468657,0,0.8815364362081872,0.09707546423156312,0.021388099560249747,High Spend
CZE,2014,17.109,1.293,418.414,,4403.95,8.390484187568061,0,0.8911784603079916,0.06518397490867886,0.04363756478332932,High Spend
CZE,2015,17.323,1.25,421.663,,4446.88,8.400182857149229,0,0.8924351889295342,0.0715645417019176,0.03600026936854836,High Spend
DNK,1980,6.301,0.53,52.401,,268.45,5.596382844379506,2,0.0008794955757557338,0.0015284892425792547,0.9975920151816652,Low Spend
DNK,1981,6.149,0.527,56.595,,289.86,5.672842051749564,2,0.0009358670412721846,0.0014297251266820504,0.9976344078320456,Low Spend
DNK,1982,6.189,0.534,63.14,,323.14,5.781175521229973,2,0.0010872725958082615,0.0013222272287700576,0.9975905001754215,Low Spend
DNK,1983,6.407,0.539,68.08,,348.18,5.855587548556628,2,0.001266424035236516,0.0012773611225806083,0.9974562148421827,Low Spend
DNK,1984,6.631,0.528,71.996,,368.02,5.910850843113736,2,0.0014457673076744277,0.001261076221785566,0.9972931564705398,Low Spend
DNK,1985,6.864,0.546,79.733,,407.73,6.0130547913507595,2,0.0017658624796629933,0.0012155608271797779,0.9970185766931574,Low Spend
DNK,1986,7.276,0.563,87.9,,450.09,6.11166687613494,2,0.0022774599717126204,0.0012291121690590108,0.9964934278592283,Low Spend
DNK,1987,6.888,0.555,88.986,,456.23,6.125186546565868,2,0.002060803972115034,0.0011298936854555262,0.9968093023424294,Low Spend
DNK,1988,7.33,0.6,99.611,,510.96,6.238246496987591,2,0.0027420091287108997,0.0011457918844295404,0.9961121989868593,Low Spend
DNK,1989,7.023,0.566,98.15,,503.76,6.22408306878471,2,0.0024443769102515524,0.0010831650259885677,0.9964724580637601,Low Spend
DNK,1990,7.621,0.613,111.578,,573.62,6.353708952761583,2,0.003519730651526148,0.0011439225997306283,0.9953363467487433,Low Spend
DNK,1991,8.145,0.647,123.085,,634.42,6.454286197575492,2,0.004842399089575089,0.0012559296623083527,0.9939016712481163,Low Spend
